Producto,"Producto, nombre",Subfamilia,Nº productos,Nº Documentos,Nº items (líneas),Cantidad,Cant. confirmada,Importe bruto (euro),Importe dto. (euro),% Dto. Efectivo,Importe (euro),Unnamed: 12
CA062285,H-BOTELLA CO2 24 GR. 100N,MATC,1,1,1,"20,000000000","20,000000000","96,400000000000000000","0,000000000000000000","0,000","96,40",
CA070070,EXTINTOR POLVO SECO 6 KG. MARINA,EXTI,1,1,1,"2,000000000","2,000000000","49,080000000000000000","0,000000000000000000","0,000","49,08",
CA070073,"EXTINTOR POLVO SECO  2 KG, CON SOPORTE",EXTI,1,1,1,"10,000000000","10,000000000","172,500000000000000000","0,000000000000000000","0,000","172,50",
CA070079,EXTINTOR MARINA 9 L. ESPUMA,EXTI,1,1,1,"6,000000000","6,000000000","181,860000000000000000","0,000000000000000000","0,000","181,86",
CA100118,HRU ZAFA HAMMAR BALSA ,HRU,1,4,345,"364,000000000","342,000000000","11845,670000000000000000","0,000000000000000000","0,000","11845,67",
CA140175,BOTIQUIN TIPO C (ACCESORIOS) BOT.SALV.Y EMB.RECR (REF BC32NC22),BOTI,1,1,1,"5,000000000","0,000000000","141,100000000000000000","0,000000000000000000","0,000","141,10",
CA140180,BOTIQUIN SOLAS SIMPLIFICADO (ACCESORIOS) BC32SN16N AMARILLO,BOTI,1,8,8,"110,000000000","49,000000000","1048,750000000000000000","0,000000000000000000","0,000","1048,75",
CA140181,BOTIQUIN SOLAS SIMPLIFICADO (COMPLEMENTOS) FC32SN16N AMARILLO,BOTI,1,8,8,"110,000000000","49,000000000","828,911010000000000000","0,001010000000000000","0,000","828,91",
CA140184,BOTIQUIN CATEGORIA C NORMATIVA EUROPEA  NARANJA BO922916N,BOTI,1,1,1,"1,000000000","1,000000000","37,620000000000000000","0,000000000000000000","0,000","37,62",
CA150466,PEGAMENTO MONO COMPONENTE KIT REPARACION,MATB,1,1,1,"2,000000000","0,000000000","5,100000000000000000","0,000000000000000000","0,000","5,10",
CA150618,"KH-PIEZA GOMA PROTECCION MANGUERA ""L""",MATV,1,1,1,"15,000000000","0,000000000","45,000000000000000000","0,000000000000000000","0,000","45,00",
CA150636,CINTA REFLECTANTE SOLAS  (EURO/METRO),MATB,1,1,1,"1,000000000","1,000000000","5,950000000000000000","0,000000000000000000","0,000","5,95",
